LOCATION,TIME,Value_disposable_income,Value_adult_education,Value_alcohol_consumption,Value_air_pollution,Value_overweight_population,Value_avg_annual_hours,Happiness Rank,HDI Rank (2017),income_inequality,unemployment,HDI_value,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Slovakia,2016,21840.177939016998,21.979519,9.9,100.0,56.20000000000001,1740.0,45.0,,6.8,9.7,0.853,Central and Eastern Europe,6.077999999999999,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,2.61065
Slovakia,2017,22508.7591295841,23.095415,9.7,100.0,,1714.0,40.0,38.0,6.7,7.9,0.855,Central and Eastern Europe,6.09800004959106,1.32539355754852,1.5050592422485398,0.712732911109924,0.295817464590073,0.0242108516395092,0.136544480919838,2.09777665138245
Slovenia,2015,21796.631004666102,30.173296,11.5,99.99852,55.6,1687.8,55.0,,5.8,9.0,0.889,Central and Eastern Europe,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,1.6158299999999999
Slovenia,2016,22874.675460695,30.735788,10.5,99.92025,56.03333333333333,1652.9,63.0,,5.5,8.0,0.894,Central and Eastern Europe,5.768,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522
Slovenia,2017,24242.3802355435,34.302807,10.1,99.92365,,1621.7,62.0,25.0,5.5,6.9,0.896,Central and Eastern Europe,5.75799989700317,1.3412059545516999,1.4525188207626298,0.7908282279968258,0.572575807571411,0.0451289787888527,0.242649093270302,1.31331729888916
Sweden,2015,31779.8065494131,39.786552,7.2,3.00122,55.93333333333334,1471.0,8.0,,6.6,7.4,0.929,Western Europe,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004
Sweden,2016,32331.3529608464,41.139179,7.2,2.96387,56.36666666666667,1482.0,10.0,,6.9,7.0,0.932,Western Europe,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734
Sweden,2017,33316.875404867904,41.936690999999996,7.1,2.96387,,1470.0,9.0,7.0,7.2,6.8,0.933,Western Europe,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.38539925217628496,2.09753799438477
Turkey,2015,19284.3561733065,18.020138,1.4,99.8985475,66.10000000000001,1832.0,76.0,,15.8,10.2,0.783,Middle East and Northern Africa,5.332000000000001,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528
United States,2015,47484.0505285958,44.629397999999995,8.9,8.131219999999999,67.43333333333334,1785.0,15.0,,12.9,5.3,0.92,North America,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011
United States,2016,48499.137165243395,45.666354999999996,8.9,3.12032,67.93333333333334,1781.0,13.0,,12.7,4.9,0.922,North America,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782
United States,2017,50203.2584030456,46.3568,8.9,3.14777,,1780.0,14.0,13.0,13.1,4.4,0.924,North America,6.993000030517581,1.54625928401947,1.4199205636978103,0.7742866277694699,0.505740523338318,0.135638788342476,0.392578780651093,2.2181134223937997
South Africa,2015,9090.91329316809,6.988938799999999,7.1,99.96025,52.56666666666666,1713.3206096986817,113.0,,32.0,25.2,0.692,Sub-Saharan Africa,4.6419999999999995,0.9204899999999999,1.18468,0.27688,0.33207,0.08884,0.11972999999999999,1.7195599999999998
South Africa,2016,9165.45783817146,6.9798017,7.1,99.96025,53.23333333333333,1713.3206096986817,116.0,,30.3,26.6,0.696,Sub-Saharan Africa,4.459,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,1.6422700000000001
South Africa,2017,9485.611152294508,7.4416285,7.1,99.96025,,1713.3206096986817,101.0,113.0,30.3,27.7,0.699,Sub-Saharan Africa,4.8289999961853,1.05469870567322,1.38478863239288,0.18708007037639604,0.479246735572815,0.0725094974040985,0.13936237990856198,1.51090860366821
Argentina,2017,16421.058966712415,21.406715,5.361538461538462,96.00372,,2097.9777777777776,24.0,47.0,13.9,8.7,0.825,Latin America and Caribbean,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.49451920390129106,0.05973988771438599,0.109457060694695,2.61400532722473
Brazil,2015,16421.058966712415,14.794607999999998,7.0,75.53867,55.86666666666667,2097.9777777777776,16.0,,25.0,8.4,0.757,Latin America and Caribbean,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.17521,0.14574,3.26001
Brazil,2016,16421.058966712415,16.920097,6.3,68.10785,56.5,2097.9777777777776,17.0,,23.6,11.6,0.758,Latin America and Caribbean,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005
Brazil,2017,16421.058966712415,17.210516000000002,6.65,68.25601999999999,,2097.9777777777776,22.0,79.0,23.2,12.9,0.759,Latin America and Caribbean,6.6350002288818395,1.1073532104492199,1.43130600452423,0.6165523529052729,0.437453746795654,0.11109276115894301,0.16234989464282998,2.7692670822143595
Switzerland,2017,39062.338970375204,42.594601000000004,9.2,54.002280000000006,,1570.0,4.0,2.0,7.5,4.8,0.944,Western Europe,7.49399995803833,1.5649795532226598,1.51691174507141,0.858131289482117,0.620070576667786,0.36700728535652205,0.29054927825927696,2.2767162322998
Colombia,2015,16421.058966712415,21.562889000000002,4.4,96.30925,58.4,2097.9777777777776,33.0,,23.7,8.2,0.742,Latin America and Caribbean,6.477,0.91861,1.2401799999999998,0.69077,0.53466,0.0512,0.18400999999999998,2.85737
Colombia,2016,16421.058966712415,22.247128,4.5,93.73804,58.93333333333334,2097.9777777777776,31.0,,22.6,8.4,0.747,Latin America and Caribbean,6.481,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,3.1747099999999997
Colombia,2017,16421.058966712415,22.491623,4.45,93.20684,,2097.9777777777776,36.0,90.0,22.9,9.0,0.747,Latin America and Caribbean,6.35699987411499,1.07062232494354,1.4021829366683998,0.595027923583984,0.47748741507530196,0.0466687418520451,0.14901447296142598,2.6160681247711204
Costa Rica,2015,16421.05896671242,23.136086,3.6,99.66069,60.79999999999999,2148.2,12.0,,18.2,9.3,0.788,Latin America and Caribbean,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728
Costa Rica,2016,16421.05896671242,22.998714,3.7,99.59809,61.599999999999994,2204.7,14.0,,17.8,9.0,0.791,Latin America and Caribbean,7.087000000000001,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004
